
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2002/01/11	1574.26	1574.27	1535.28	1535.59	7695750	4779542528.00
2002/01/14	1519.93	1519.93	1484.46	1485.11	8867276	5710194176.00
2002/01/15	1475.34	1491.70	1458.02	1459.65	7312603	5276912128.00
2002/01/16	1458.84	1482.18	1439.40	1479.62	8108475	5956651520.00
2002/01/17	1476.36	1476.38	1416.30	1419.52	8109145	5227982848.00
2002/01/18	1405.55	1434.97	1376.89	1415.44	10553222	7145716736.00
2002/01/21	1407.00	1412.21	1362.62	1366.97	7829897	4975242240.00
2002/01/22	1360.29	1400.76	1348.79	1358.69	9520053	6096209408.00
2002/01/23	1355.86	1445.70	1346.17	1444.96	13839606	8804593664.00
2002/01/24	1435.32	1478.54	1400.35	1456.40	17330661	12071697408.00
2002/01/25	1449.88	1464.90	1442.94	1451.48	9777530	7091905536.00
2002/01/28	1444.50	1448.60	1357.55	1359.55	13984110	8988114944.00
2002/01/29	1343.36	1396.11	1339.20	1392.78	8726168	6006446080.00
2002/01/30	1392.95	1408.05	1381.01	1396.60	7118022	4822857728.00
2002/01/31	1413.22	1501.33	1413.22	1491.67	27589721	17982564352.00
2002/02/01	1494.58	1507.64	1480.77	1485.77	18167053	13016399872.00
2002/02/04	1485.68	1513.67	1476.13	1511.33	11584824	8102461952.00
2002/02/05	1510.57	1522.32	1502.09	1518.28	13974454	9364810752.00
2002/02/06	1517.81	1521.56	1484.25	1485.80	11856261	8025754624.00
2002/02/07	1482.36	1521.03	1481.07	1515.39	12798856	8823512064.00
2002/02/08	1520.72	1530.13	1506.07	1506.61	9404097	6845198848.00
2002/02/25	1540.49	1544.57	1521.66	1530.28	11375783	8265858560.00
2002/02/26	1529.38	1531.69	1507.57	1531.17	9296719	6630673408.00
2002/02/27	1531.32	1544.92	1524.69	1538.32	11617240	7038143488.00
2002/02/28	1537.93	1544.39	1521.08	1524.70	9027915	6504765440.00
2002/03/01	1521.53	1521.57	1501.56	1502.54	7298228	5523419136.00
2002/03/04	1497.83	1527.40	1494.83	1526.80	7526484	5573280768.00
